english,tamil
"The tea market is very much affected by the price rise and all the Industrial Cooperative Tea Factories are incurring losses every month, which affects the reasonable price they pay to their member growers.","தேநீர் சந்தை விலைவாசி ஏற்றத்தால் மிகவும் பாதிக்கப்பட்டுள்ளது, இதனால எல்லா Industrial Cooperative Tea Factories-ம் ஒவ்வொரு மாசமும் நஷ்டத்த ஏற்படுத்துது, இது அவங்க member growers-க்கு கொடுக்குற reasonable price-ஐ பாதிக்குது."
"Jesus is not just a man riding a donkey, he's now a powerful King. He's climbing a horse that's a biblical symbol of warfare.","இயேசு கழுதையில ஏறிக்கிட்டு இருக்குற ஒரு மனுஷன் மட்டும் இல்லாம, இப்போ ஒரு powerful King-ஆ இருக்காரு. அவர் Biblical symbol of warfare-ஆ இருக்குற horse மேல ஏறி இருக்காரு."
This was a disappointment to us.,இது எங்களுக்கு ஏமாற்றமா போயிருச்சு.
A dog or a cat?,நாயா இல்ல பூனைவா?
"We wanted that Allah, their Lord, should give them someone else in their place, and we wanted a son to be a more honest and kind man than theirs.","அவங்களுக்கு அவங்க இரட்சகரான Allah அவங்களுக்கு அவங்க இடத்தில் வேற ஒருத்தவங்கள கொடுக்கணும்னு நாம விரும்பினோம், அவங்க இடத்தை விட நேர்மையான, கனிவான மனிதரா ஒரு குமாரன் இருக்கணும்னு விரும்பினோம்."
I will act myself.,நானே நடிச்சுக்குறேன்.
I understand what the problem is.,உங்களுக்கு என்ன problem-ன்னு எனக்குப் புரியுது.
The work for the film is going on at full swing.,படத்துக்கான வேலை full swing-ல நடந்துட்டு இருக்கு.
"The amount of tree pollen at 800 sediment is decreasing, which means deforestation is happening.","800 sediment-ல இருக்குற tree pollen அளவு குறையுது, அதாவது deforestation நடக்குதுன்னு அர்த்தம்."
He is such an idol and inspiration to me.,அவர் தான் எனக்கு ரொம்ப பெரிய idol and inspiration.
A lot of vehicles have been damaged in this incident.,இந்த சம்பவத்துல நிறைய vehicles-ம் damage ஆயிருக்கு.
He's a runner.,அவர் ஒரு runner.
Chisel's sound,உலியின்னு ஓசை (Chisel's sound)
This is my team!,இதுதான் என்னோட team!
"As the Bible said centuries ago, ""A cheerful heart is good medicine, but a crushed spirit dries up the bones."" Proverbs 17:22, the Holy Bible is in the New International Version.","இந்த findings பல நூற்றாண்டுகளுக்கு முன்னாடி Bible-ல சொல்லி இருக்காங்க: A cheerful heart is good medicine, but a crushed spirit dries up the bones. Proverbs 17: 22, The Holy Bible New International Version-ல சொல்லி இருக்கு."
"He told them to lead the fact-finding mission, to report to them. Genesis 18: 1 - 3, 20 - 22.","அவங்க இந்த fact-finding mission-அ lead பண்ணனும், அவங்ககிட்ட report பண்ணனும்னு சொல்லிட்டாரு. Genesis 18: 1 - 3, 20 - 22."
I thought everything was going well.,எல்லாம் சரியா போயிட்டிருக்குன்னு நெனச்சேன்.
He's got a lot of questions.,அவர் நிறைய கேள்விகள் எழுப்பிருக்காரு.
"Also, if you close your account after 3 years or 5 years in advance, you will get a deduction of 1% from the principal amount.","அதுமட்டுமில்லாம, 3 வருஷம் கழிச்சு 5 வருஷத்துக்கு முன்னாடி account close பண்ணா, principal amount-ல இருந்து 1% deduction பண்ணுவாங்க."
